id1,id2,7/24/2015,8/1/2015,8/22/2015,8/30/2015
GJ_NET116,IH_NET116,,,,
GJ_NET116,PB_NET217,,,,
GJ_NET116,SY_NET217,,,,
GJ_NET116,UA_NET119,,,,
GJ_NET116,VZ_NET119,,,,
GJ_NET116,WP_SAND17,,,,
GJ_NET116,XO_SAND17,,,,
GJ_NET116,YN_SAND17,,,,
GJ_NET116,ZM_SAND17,,,,
GS_NET115,AK_NET217,,,,
GS_NET115,DE_FSAN18,,,,
GS_NET115,ED_FSAN18,,,,
GS_NET115,FK_NET116,,,,
GS_NET115,FP_NET215,,,,
GS_NET115,GJ_NET116,,,,
GS_NET115,HI_NET116,,,,
GS_NET115,HN_NET115,,,,
GS_NET115,IH_NET116,,,,
GS_NET115,JP_NET115,,,,1
GS_NET115,KK_NET215,,,,
GS_NET115,KO_NET215,,,,
GS_NET115,LN_NET215,,,,
GS_NET115,PB_NET217,,,,
GS_NET115,SY_NET217,,,,
GS_NET115,UA_NET119,,,,
GS_NET115,VZ_NET119,,,,
GS_NET115,WP_SAND17,,,,
GS_NET115,XO_SAND17,,,,
GS_NET115,YN_SAND17,,,,
GS_NET115,ZM_SAND17,,,,
HI_NET116,AK_NET217,,,,
HI_NET116,DE_FSAN18,,,,
HI_NET116,ED_FSAN18,,,,
HI_NET116,IH_NET116,,,,
HI_NET116,PB_NET217,,,,
HI_NET116,SY_NET217,,,,
HI_NET116,UA_NET119,,,,
HI_NET116,VZ_NET119,,,,
HI_NET116,WP_SAND17,,,,
HI_NET116,XO_SAND17,,,,
HI_NET116,YN_SAND17,,,,
HI_NET116,ZM_SAND17,,,,
HN_NET115,AK_NET217,,,,
HN_NET115,DE_FSAN18,,,,
HN_NET115,ED_FSAN18,,,,
HN_NET115,FK_NET116,,,,
HN_NET115,FP_NET215,,,,
HN_NET115,GJ_NET116,,,,
HN_NET115,HI_NET116,,,,
HN_NET115,IH_NET116,,,,
HN_NET115,KK_NET215,,,,
HN_NET115,KO_NET215,,,,
HN_NET115,LN_NET215,,,,
HN_NET115,PB_NET217,,,,
HN_NET115,SY_NET217,,,,
HN_NET115,UA_NET119,,,,
HN_NET115,VZ_NET119,,,,
